10	30.54
15	39.71
20	44.09
25	44.24
30	44.88
35	46.66
40	47.61
45	47.04
50	46.67
55	45.89
60	47.36
65	47.57
70	47.41
75	47.03
80	46.83
85	46.15
90	43.83
95	44.75
100	44.81
